Design Name,Description,URL,Design Score,Source Platform,Trend Probability,Sales Indicator
Custom_Photo_Name,Personalized cat t-shirt with photo and name,A+ trend,https://www.pinterest.com/ideas/cat-t-shirt-design/952661049875/,A+,Pinterest,90%,Green
Watercolor_Cat_Art,Soft watercolor cat illustrations,https://www.pinterest.com/animaltshirts/cat-t-shirts/,A+,Pinterest,90%,Green
Vintage_Retro_Cat,Retro 70s-90s cat prints with nostalgic style,https://www.etsy.com/market/best_selling_cat_t_shirts,B,Etsy,75%,Yellow
Edgy_Cat_Memes,Sarcastic cat meme t-shirts with bold captions,https://www.pinterest.com/HLindquist07/cat-art-memes/,A+,Pinterest,92%,Green
Minimalist_Line_Art,Simplified black and white cat silhouettes,https://www.etsy.com/market/artistic_cat_t_shirt,B,Etsy,80%,Yellow
Pop_Culture_Crossover,Cats in famous artworks or movie themes,https://www.pinterest.com/pin/cat-tshirts-cat-tshirts-trends-cat-womens-fashion-cat-tee-cat-tshirts-funny-cat-tshirt-ideas-in-2023--863354191087557355/,A+,Pinterest,90%,Green
Seasonal_Holiday_Cats,Holiday themed cat t-shirts (Christmas, Halloween),https://www.etsy.com/market/cat_shirt_bestseller?ref=lp_queries_external_top-2,B,Etsy,70%,Yellow
Bougie_Luxury_Cats,High-end cat designs with gold accents,https://www.pinterest.com/jennyestofall/ridiculous-cat-shirts/,A+,Pinterest,90%,Green
Cat_Influencer_Merch,Shirts featuring viral cats like Grumpy Cat,https://www.ebay.com/b/cat-print-t-shirt/bn_7024769858,A+,eBay,90%,Green
Eco_Friendly_Message,Earth-tone shirts with sustainability slogans,https://www.etsy.com/market/cat_tshirt,B,Etsy,65%,Yellow
Minimalist_Cat_Silhouette,Modern clean single-line cat designs,https://www.etsy.com/market/cat_shirt,B,Etsy,80%,Yellow
Custom_Cat_Portrait,Personalized pet illustrations,https://www.etsy.com/market/cat_art_tee_shirt,A+,Etsy,90%,Green
Pop_Art_Cats,Bold colorful comic-style cat graphics,https://www.ebay.com/itm/226514257592,B,eBay,75%,Yellow
Funny_Cat_Quotes,Witty pun-based cat shirts,https://www.ebay.com/itm/276244306643,A+,eBay,90%,Green
Abstract_Cat_Art,Geometric and fragmented cat visuals,https://www.etsy.com/market/artistic_cat_shirt,B,Etsy,70%,Yellow
Matching_Cat_Owner,Customizable matching sets for cats and owners,https://www.etsy.com/market/best_seller_cat_tee,A+,Etsy,90%,Green
Bold_Graphic_Patterns,Large scale cat prints for visual impact,https://www.ebay.com/itm/365322146186,B,eBay,75%,Yellow
Celestial_Cat_Themes,Star maps and cosmic cat designs,https://www.etsy.com/market/cat_design_t_shirts,B,Etsy,70%,Yellow
Whimsical_Cartoon_Cats,Playful and cute cat illustrations,https://www.ebay.com/itm/146166852222,A+,eBay,90%,Green
Street_Art_Cats,Urban graffiti style cat graphics,https://www.ebay.com/itm/135240903125,B,eBay,70%,Yellow
